JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,
2458357.094714629, A.D. 2018-Aug-26 14:16:23.3440,  4.652448556496923E+07, -9.839550223095348E+07, -4.084990460063450E+06,  3.142176828813398E+01,  1.485347312066292E+01, -1.595667329114889E+00,  3.633076514502989E+02,  1.089168938384923E+08,  6.321281428187374E-02,
2458357.344714629, A.D. 2018-Aug-26 20:16:23.3440,  4.720207558272056E+07, -9.807231215820727E+07, -4.119358719348878E+06,  3.131779826884126E+01,  1.507141276396875E+01, -1.586566249252867E+00,  3.633121488504829E+02,  1.089182421251481E+08,  6.162805328862707E-02,
2458357.594714629, A.D. 2018-Aug-27 02:16:23.3440,  4.787740367249714E+07, -9.774442245694673E+07, -4.153529577038065E+06,  3.121233135093549E+01,  1.528862221443970E+01, -1.577389476015813E+00,  3.633165319639927E+02,  1.089195561495209E+08,  6.004039320344808E-02,
2458357.844714629, A.D. 2018-Aug-27 08:16:23.3440,  4.855043755584699E+07, -9.741184900902194E+07, -4.187501402862847E+06,  3.110537259719478E+01,  1.550509132184403E+01, -1.568137445957015E+00,  3.633208005846588E+02,  1.089208358498027E+08,  5.844990925792916E-02,
2458358.094714629, A.D. 2018-Aug-27 14:16:23.3440,  4.922114506439304E+07, -9.707460791515234E+07, -4.221272576020643E+06,  3.099692713692588E+01,  1.572080997080159E+01, -1.558810598958884E+00,  3.633249545117362E+02,  1.089220811658116E+08,  5.685667680215849E-02,
2458358.344714629, A.D. 2018-Aug-27 20:16:23.3440,  4.988949414126768E+07, -9.673271549416955E+07, -4.254841485246100E+06,  3.088700016573244E+01,  1.593576808119129E+01, -1.549409378213778E+00,  3.633289935499132E+02,  1.089232920389946E+08,  5.526077130129351E-02,
2458358.594714629, A.D. 2018-Aug-28 02:16:23.3440,  5.055545284254222E+07, -9.638618828225131E+07, -4.288206528882407E+06,  3.077559694528108E+01,  1.614995560855702E+01, -1.539934230204683E+00,  3.633329175093190E+02,  1.089244684124300E+08,  5.366226833210992E-02,
2458358.844714629, A.D. 2018-Aug-28 08:16:23.3440,  5.121898933865138E+07, -9.603504303214680E+07, -4.321366114952102E+06,  3.066272280306540E+01,  1.636336254451219E+01, -1.530385604685820E+00,  3.633367262055327E+02,  1.089256102308297E+08,  5.206124357958717E-02,
2458359.094714629, A.D. 2018-Aug-28 14:16:23.3440,  5.188007191581246E+07, -9.567929671239316E+07, -4.354318661227621E+06,  3.054838313216791E+01,  1.657597891714268E+01, -1.520763954663161E+00,  3.633404194595898E+02,  1.089267174405414E+08,  5.045777283344208E-02,
2458359.344714629, A.D. 2018-Aug-28 20:16:23.3440,  5.253866897743960E+07, -9.531896650652340E+07, -4.387062595301256E+06,  3.043258339101992E+01,  1.678779479140839E+01, -1.511069736374817E+00,  3.633439970979901E+02,  1.089277899895513E+08,  4.885193198475226E-02,
2458359.594714629, A.D. 2018-Aug-29 02:16:23.3440,  5.319474904555263E+07, -9.495406981226550E+07, -4.419596354654782E+06,  3.031532910315935E+01,  1.699880026954323E+01, -1.501303409271378E+00,  3.633474589527051E+02,  1.089288278274855E+08,  4.724379702250503E-02,
2458359.844714629, A.D. 2018-Aug-29 08:16:23.3440,  5.384828076218072E+07, -9.458462424073307E+07, -4.451918386728585E+06,  3.019662585698647E+01,  1.720898549145361E+01, -1.491465435996115E+00,  3.633508048611845E+02,  1.089298309056128E+08,  4.563344403017481E-02,
2458360.094714629, A.D. 2018-Aug-29 14:16:23.3440,  5.449923289076086E+07, -9.421064761560734E+07, -4.484027148990490E+06,  3.007647930551768E+01,  1.741834063511548E+01, -1.481556282365119E+00,  3.633540346663634E+02,  1.089307991768463E+08,  4.402094918239210E-02,
2458360.344714629, A.D. 2018-Aug-29 20:16:23.3440,  5.514757431753074E+07, -9.383215797231044E+07, -4.515921109004028E+06,  2.995489516613720E+01,  1.762685591696977E+01, -1.471576417347331E+00,  3.633571482166680E+02,  1.089317325957453E+08,  4.240638874151730E-02,
2458360.594714629, A.D. 2018-Aug-30 02:16:23.3440,  5.579327405291651E+07, -9.344917355717051E+07, -4.547598744496308E+06,  2.983187922034676E+01,  1.783452159231638E+01, -1.461526313044494E+00,  3.633601453660229E+02,  1.089326311185173E+08,  4.078983905427388E-02,
2458360.844714629, A.D. 2018-Aug-30 08:16:23.3440,  5.643630123291493E+07, -9.306171282657798E+07, -4.579058543425482E+06,  2.970743731351329E+01,  1.804132795570658E+01, -1.451406444671002E+00,  3.633630259738558E+02,  1.089334947030201E+08,  3.917137654842163E-02,
2458361.094714629, A.D. 2018-Aug-30 14:16:23.3440,  5.707662512047021E+07, -9.266979444613349E+07, -4.610299004047856E+06,  2.958157535461465E+01,  1.824726534133398E+01, -1.441217290533680E+00,  3.633657899051041E+02,  1.089343233087628E+08,  3.755107772942429E-02,
2458361.344714629, A.D. 2018-Aug-30 20:16:23.3440,  5.771421510684507E+07, -9.227343728978752E+07, -4.641318634984247E+06,  2.945429931598332E+01,  1.845232412342380E+01, -1.430959332011427E+00,  3.633684370302200E+02,  1.089351168969079E+08,  3.592901917711870E-02,
2458361.594714629, A.D. 2018-Aug-31 02:16:23.3440,  5.834904071298662E+07, -9.187266043897140E+07, -4.672115955286346E+06,  2.932561523304816E+01,  1.865649471662078E+01, -1.420633053534845E+00,  3.633709672251761E+02,  1.089358754302730E+08,  3.430527754248798E-02,
2458361.844714629, A.D. 2018-Aug-31 08:16:23.3440,  5.898107159088626E+07, -9.146748318172017E+07, -4.702689494502295E+06,  2.919552920407417E+01,  1.885976757637546E+01, -1.410238942565721E+00,  3.633733803714699E+02,  1.089365988733319E+08,  3.267992954430703E-02,
2458362.094714629, A.D. 2018-Aug-31 14:16:23.3440,  5.961027752493423E+07, -9.105792501178692E+07, -4.733037792741917E+06,  2.906404738990037E+01,  1.906213319932888E+01, -1.399777489576436E+00,  3.633756763561287E+02,  1.089372871922163E+08,  3.105305196598779E-02,
2458362.344714629, A.D. 2018-Aug-31 20:16:23.3440,  6.023662843326830E+07, -9.064400562774904E+07, -4.763159400741659E+06,  2.893117601367567E+01,  1.926358212369578E+01, -1.389249188029313E+00,  3.633778550717147E+02,  1.089379403547171E+08,  2.942472165231644E-02,
2458362.594714629, A.D. 2018-Sep-01 02:16:23.3440,  6.086009436911681E+07, -9.022574493210602E+07, -4.793052879928768E+06,  2.879692136059284E+01,  1.946410492964629E+01, -1.378654534355849E+00,  3.633799164163285E+02,  1.089385583302857E+08,  2.779501550629861E-02,
2458362.844714629, A.D. 2018-Sep-01 08:16:23.3440,  6.148064552213594E+07, -8.980316303036915E+07, -4.822716802485343E+06,  2.866128977762052E+01,  1.966369223968595E+01, -1.367994027935886E+00,  3.633818602936138E+02,  1.089391410900351E+08,  2.616401048594690E-02,
2458363.094714629, A.D. 2018-Sep-01 14:16:23.3440,  6.209825221974113E+07, -8.937628023014291E+07, -4.852149751411743E+06,  2.852428767323339E+01,  1.986233471903426E+01, -1.357268171076673E+00,  3.633836866127608E+02,  1.089396886067412E+08,  2.453178360122836E-02,
2458363.344714629, A.D. 2018-Sep-01 20:16:23.3440,  6.271288492843271E+07, -8.894511704019845E+07, -4.881350320589550E+06,  2.838592151714039E+01,  2.006002307600166E+01, -1.346477468991868E+00,  3.633853952885101E+02,  1.089402008548440E+08,  2.289841191087840E-02,
2458363.594714629, A.D. 2018-Sep-02 02:16:23.3440,  6.332451425511558E+07, -8.850969416953853E+07, -4.910317114844181E+06,  2.824619784001105E+01,  2.025674806236493E+01, -1.335622429780455E+00,  3.633869862411560E+02,  1.089406778104483E+08,  2.126397251936769E-02,
2458363.844714629, A.D. 2018-Sep-02 08:16:23.3440,  6.393311094841298E+07, -8.807003252645481E+07, -4.939048750007004E+06,  2.810512323319990E+01,  2.045250047374103E+01, -1.324703564405556E+00,  3.633884593965499E+02,  1.089411194513249E+08,  1.962854257382839E-02,
2458364.094714629, A.D. 2018-Sep-02 14:16:23.3440,  6.453864589997436E+07, -8.762615321757674E+07, -4.967543852976859E+06,  2.796270434846912E+01,  2.064727114995938E+01, -1.313721386673190E+00,  3.633898146861029E+02,  1.089415257569113E+08,  1.799219926106082E-02,
2458364.344714629, A.D. 2018-Sep-02 20:16:23.3440,  6.514109014577707E+07, -8.717807754691270E+07, -4.995801061781354E+06,  2.781894789770916E+01,  2.084105097543257E+01, -1.302676413210928E+00,  3.633910520467886E+02,  1.089418967083127E+08,  1.635501980449588E-02,
2458364.594714629, A.D. 2018-Sep-03 02:16:23.3440,  6.574041486742221E+07, -8.672582701488286E+07, -5.023819025637537E+06,  2.767386065265761E+01,  2.103383087952557E+01, -1.291569163446472E+00,  3.633921714211464E+02,  1.089422322883028E+08,  1.471708146123630E-02,
2458364.844714629, A.D. 2018-Sep-03 08:16:23.3440,  6.633659139342412E+07, -8.626942331734437E+07, -5.051596405012090E+06,  2.752744944461618E+01,  2.122560183692328E+01, -1.280400159586168E+00,  3.633931727572824E+02,  1.089425324813243E+08,  1.307846151908425E-02,
2458365.094714629, A.D. 2018-Sep-03 14:16:23.3440,  6.692959120049413E+07, -8.580888834460837E+07, -5.079131871681243E+06,  2.737972116416585E+01,  2.141635486799660E+01, -1.269169926593411E+00,  3.633940560088727E+02,  1.089427972734896E+08,  1.143923729366818E-02,
