JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460142.000000000, A.D. 2023-Jul-16 12:00:00.0000, -6.408096560835758E+04,  3.948037546882615E+05,  3.268160427365059E+04, -9.741851411290715E-01, -1.321881801497918E-01,  3.254645950343965E-02,
2460142.020833333, A.D. 2023-Jul-16 12:30:00.0000, -6.583386931781592E+04,  3.945618653568840E+05,  3.273985516861267E+04, -9.734824007429828E-01, -1.365769963185921E-01,  3.217667052718989E-02,
2460142.041666667, A.D. 2023-Jul-16 13:00:00.0000, -6.758549057216563E+04,  3.943120802150327E+05,  3.279743997801069E+04, -9.727601955880061E-01, -1.409612899630006E-01,  3.180636565454659E-02,
2460142.062500000, A.D. 2023-Jul-16 13:30:00.0000, -6.933579435963297E+04,  3.940544074730496E+05,  3.285435777983104E+04, -9.720185532756858E-01, -1.453409835592324E-01,  3.143555221851624E-02,
2460142.083333333, A.D. 2023-Jul-16 14:00:00.0000, -7.108474571838559E+04,  3.937888554806603E+05,  3.291060766525817E+04, -9.712575016847075E-01, -1.497159997600490E-01,  3.106423755051556E-02,
2460142.104166667, A.D. 2023-Jul-16 14:30:00.0000, -7.283230973701233E+04,  3.935154327266562E+05,  3.296618873867160E+04, -9.704770689599047E-01, -1.540862613953723E-01,  3.069242898027574E-02,
2460142.125000000, A.D. 2023-Jul-16 15:00:00.0000, -7.457845155500165E+04,  3.932341478385752E+05,  3.302110011764264E+04, -9.696772835112638E-01, -1.584516914728951E-01,  3.032013383574691E-02,
2460142.145833333, A.D. 2023-Jul-16 15:30:00.0000, -7.632313636321780E+04,  3.929450095823804E+05,  3.307534093293137E+04, -9.688581740129292E-01, -1.628122131786863E-01,  2.994735944300283E-02,
2460142.166666667, A.D. 2023-Jul-16 16:00:00.0000, -7.806632940437552E+04,  3.926480268621395E+05,  3.312891032848303E+04, -9.680197694022056E-01, -1.671677498777924E-01,  2.957411312614597E-02,
2460142.187500000, A.D. 2023-Jul-16 16:30:00.0000, -7.980799597351276E+04,  3.923432087197012E+05,  3.318180746142429E+04, -9.671620988785602E-01, -1.715182251148349E-01,  2.920040220721280E-02,
2460142.208333333, A.D. 2023-Jul-16 17:00:00.0000, -8.154810141846175E+04,  3.920305643343721E+05,  3.323403150205975E+04, -9.662851919026215E-01, -1.758635626146022E-01,  2.882623400607932E-02,
2460142.229166667, A.D. 2023-Jul-16 17:30:00.0000, -8.328661114031811E+04,  3.917101030225913E+05,  3.328558163386749E+04, -9.653890781951786E-01, -1.802036862826380E-01,  2.845161584036700E-02,
2460142.250000000, A.D. 2023-Jul-16 18:00:00.0000, -8.502349059390830E+04,  3.913818342376051E+05,  3.333645705349551E+04, -9.644737877361786E-01, -1.845385202058248E-01,  2.807655502534907E-02,
2460142.270833333, A.D. 2023-Jul-16 18:30:00.0000, -8.675870528825514E+04,  3.910457675691396E+05,  3.338665697075694E+04, -9.635393507637212E-01, -1.888679886529626E-01,  2.770105887385671E-02,
2460142.291666667, A.D. 2023-Jul-16 19:00:00.0000, -8.849222078704165E+04,  3.907019127430729E+05,  3.343618060862576E+04, -9.625857977730539E-01, -1.931920160753434E-01,  2.732513469618604E-02,
2460142.312500000, A.D. 2023-Jul-16 19:30:00.0000, -9.022400270907294E+04,  3.903502796211063E+05,  3.348502720323214E+04, -9.616131595155657E-01, -1.975105271073208E-01,  2.694878980000510E-02,
2460142.333333333, A.D. 2023-Jul-16 20:00:00.0000, -9.195401672873642E+04,  3.899908782004337E+05,  3.353319600385765E+04, -9.606214669977762E-01, -2.018234465668751E-01,  2.657203149026131E-02,
2460142.354166667, A.D. 2023-Jul-16 20:30:00.0000, -9.368222857646008E+04,  3.896237186134114E+05,  3.358068627293030E+04, -9.596107514803288E-01, -2.061306994561730E-01,  2.619486706908912E-02,
2460142.375000000, A.D. 2023-Jul-16 21:00:00.0000, -9.540860403916903E+04,  3.892488111272252E+05,  3.362749728601912E+04, -9.585810444769781E-01, -2.104322109621236E-01,  2.581730383571805E-02,
